LAUS Code,State FIPS Code,County FIPS Code,County Name,State Abbreviation,Year,Labor Force,Employed,Unemployed,Unemployment Rate,Geolocation
CN2112700000000,21,127,Lawrence County,KY,01/01/2015 12:00:00 AM,5099,4626,473,9.3,"Lawrence County, KY
(38.034294, -84.895387)"
CN2919700000000,29,197,Schuyler County,MO,01/01/2015 12:00:00 AM,1920,1809,111,5.8,"Schuyler County, MO
(40.066399, -91.673302)"
CN1910300000000,19,103,Johnson County,IA,01/01/2015 12:00:00 AM,83993,81714,2279,2.7,"Johnson County, IA
(41.1217, -93.724701)"
CN2201500000000,22,015,Bossier Parish,LA,01/01/2015 12:00:00 AM,58284,54988,3296,5.7,"Bossier Parish, LA
(29.867201, -91.076103)"
CN2107500000000,21,075,Fulton County,KY,01/01/2015 12:00:00 AM,2070,1912,158,7.6,"Fulton County, KY
(36.504024, -88.875349)"
CN2900900000000,29,009,Barry County,MO,01/01/2015 12:00:00 AM,15011,14262,749,5,"Barry County, MO
(38.712573, -90.360264)"
CN2117500000000,21,175,Morgan County,KY,01/01/2015 12:00:00 AM,4472,4107,365,8.2,"Morgan County, KY
(37.683805, -87.916792)"
CN2611700000000,26,117,Montcalm County,MI,01/01/2015 12:00:00 AM,27670,26094,1576,5.7,"Montcalm County, MI
(43.418635, -86.362652)"
CN2904100000000,29,041,Chariton County,MO,01/01/2015 12:00:00 AM,3879,3697,182,4.7,"Chariton County, MO
(37.263331, -94.306759)"
CN1909700000000,19,097,Jackson County,IA,01/01/2015 12:00:00 AM,11183,10704,479,4.3,"Jackson County, IA
(43.114044, -92.033225)"
CN3000300000000,30,003,Big Horn County,MT,01/01/2015 12:00:00 AM,5571,5200,371,6.7,"Big Horn County, MT
(46.161701, -107.448097)"
CN2100300000000,21,003,Allen County,KY,01/01/2015 12:00:00 AM,8541,8121,420,4.9,"Allen County, KY
(36.718012, -87.068529)"
CN1900500000000,19,005,Allamakee County,IA,01/01/2015 12:00:00 AM,7711,7328,383,5,"Allamakee County, IA
(41.723684, -90.714136)"
CN1912900000000,19,129,Mills County,IA,01/01/2015 12:00:00 AM,7437,7128,309,4.2,"Mills County, IA
(41.706976, -92.552139)"
CN2608300000000,26,083,Keweenaw County,MI,01/01/2015 12:00:00 AM,938,852,86,9.2,"Keweenaw County, MI
(43.1422, -83.172798)"
CN2717100000000,27,171,Wright County,MN,01/01/2015 12:00:00 AM,71438,68795,2643,3.7,"Wright County, MN
(46.273899, -95.185799)"
CN2707900000000,27,079,Le Sueur County,MN,01/01/2015 12:00:00 AM,15420,14672,748,4.9,"Le Sueur County, MN
(43.829179, -91.308221)"
CN1917500000000,19,175,Union County,IA,01/01/2015 12:00:00 AM,6586,6306,280,4.3,"Union County, IA
(43.477101, -91.465751)"
CN3115700000000,31,157,Scotts Bluff County,NE,01/01/2015 12:00:00 AM,18675,18035,640,3.4,"Scotts Bluff County, NE
(41.867595, -103.664175)"
CN2113100000000,21,131,Leslie County,KY,01/01/2015 12:00:00 AM,2916,2597,319,10.9,"Leslie County, KY
(38.313599, -85.514198)"
CN2915300000000,29,153,Ozark County,MO,01/01/2015 12:00:00 AM,3670,3379,291,7.9,"Ozark County, MO
(37.025476, -93.211075)"
CN2703300000000,27,033,Cottonwood County,MN,01/01/2015 12:00:00 AM,5745,5470,275,4.8,"Cottonwood County, MN
(44.608848, -95.672422)"
CN2900500000000,29,005,Atchison County,MO,01/01/2015 12:00:00 AM,2851,2724,127,4.5,"Atchison County, MO
(40.508239, -95.033711)"
CN2108700000000,21,087,Green County,KY,01/01/2015 12:00:00 AM,4987,4724,263,5.3,"Green County, KY
(38.315829, -85.613754)"
CN2905100000000,29,051,Cole County,MO,01/01/2015 12:00:00 AM,39640,38060,1580,4,"Cole County, MO
(39.198042, -94.504054)"
CN2500500000000,25,005,Bristol County,MA,01/01/2015 12:00:00 AM,288135,270430,17705,6.1,"Bristol County, MA
(42.083299, -71.019903)"
CN2703700000000,27,037,Dakota County,MN,01/01/2015 12:00:00 AM,230515,222855,7660,3.3,"Dakota County, MN
(48.158901, -96.194199)"
CN2201700000000,22,017,Caddo Parish,LA,01/01/2015 12:00:00 AM,110481,102589,7892,7.1,"Caddo Parish, LA
(30.2603, -90.758102)"
CN2501900000000,25,019,Nantucket County/town,MA,01/01/2015 12:00:00 AM,6945,6569,376,5.4,"Nantucket County/town, MA
(41.283208, -70.09923)"
CN2711300000000,27,113,Pennington County,MN,01/01/2015 12:00:00 AM,9010,8545,465,5.2,"Pennington County, MN
(47.491507, -94.479929)"
CN3000500000000,30,005,Blaine County,MT,01/01/2015 12:00:00 AM,2405,2285,120,5,"Blaine County, MT
(45.78265, -108.504578)"
CN2701700000000,27,017,Carlton County,MN,01/01/2015 12:00:00 AM,17440,16576,864,5,"Carlton County, MN
(46.664679, -92.422631)"
CN1902500000000,19,025,Calhoun County,IA,01/01/2015 12:00:00 AM,4461,4266,195,4.4,"Calhoun County, IA
(41.829251, -90.762302)"
CN2612500000000,26,125,Oakland County,MI,01/01/2015 12:00:00 AM,633540,603395,30145,4.8,"Oakland County, MI
(42.754859, -83.156558)"
CN2608700000000,26,087,Lapeer County,MI,01/01/2015 12:00:00 AM,39760,36894,2866,7.2,"Lapeer County, MI
(45.787201, -87.694397)"
CN2809300000000,28,093,Marshall County,MS,01/01/2015 12:00:00 AM,14514,13469,1045,7.2,"Marshall County, MS
(33.839803, -90.724911)"
CN3101700000000,31,017,Brown County,NE,01/01/2015 12:00:00 AM,1395,1343,52,3.7,"Brown County, NE
(40.048248, -96.577632)"
CN2402900000000,24,029,Kent County,MD,01/01/2015 12:00:00 AM,10595,10029,566,5.3,"Kent County, MD
(39.392799, -76.57)"
CN1908500000000,19,085,Harrison County,IA,01/01/2015 12:00:00 AM,7549,7288,261,3.5,"Harrison County, IA
(43.384934, -94.307301)"
CN2601100000000,26,011,Arenac County,MI,01/01/2015 12:00:00 AM,6222,5667,555,8.9,"Arenac County, MI
(44.033129, -83.846785)"
CN1815900000000,18,159,Tipton County,IN,01/01/2015 12:00:00 AM,8393,8058,335,4,"Tipton County, IN
(40.282243, -86.041215)"
CN2922100000000,29,221,Washington County,MO,01/01/2015 12:00:00 AM,10593,9883,710,6.7,"Washington County, MO
(38.556548, -91.013097)"
CN2606300000000,26,063,Huron County,MI,01/01/2015 12:00:00 AM,16357,15479,878,5.4,"Huron County, MI
(44.226898, -83.550003)"
CN2119100000000,21,191,Pendleton County,KY,01/01/2015 12:00:00 AM,6570,6217,353,5.4,"Pendleton County, KY
(38.4622, -85.303596)"
CN2913300000000,29,133,Mississippi County,MO,01/01/2015 12:00:00 AM,6325,5959,366,5.8,"Mississippi County, MO
(38.861401, -90.338303)"
CN2904500000000,29,045,Clark County,MO,01/01/2015 12:00:00 AM,3456,3210,246,7.1,"Clark County, MO
(38.628171, -90.596745)"
CN2300500000000,23,005,Cumberland County,ME,01/01/2015 12:00:00 AM,157759,152484,5275,3.3,"Cumberland County, ME
(45.022435, -69.472894)"
CN2103900000000,21,039,Carlisle County,KY,01/01/2015 12:00:00 AM,2301,2171,130,5.6,"Carlisle County, KY
(38.312181, -84.027644)"
CN2806900000000,28,069,Kemper County,MS,01/01/2015 12:00:00 AM,3592,3222,370,10.3,"Kemper County, MS
(32.1581, -90.943298)"
CN1905900000000,19,059,Dickinson County,IA,01/01/2015 12:00:00 AM,10224,9820,404,4,"Dickinson County, IA
(43.134047, -95.021918)"
CN1817700000000,18,177,Wayne County,IN,01/01/2015 12:00:00 AM,30690,29060,1630,5.3,"Wayne County, IN
(41.481701, -85.250801)"
CN3114700000000,31,147,Richardson County,NE,01/01/2015 12:00:00 AM,4303,4163,140,3.3,"Richardson County, NE
(41.08969, -96.966188)"
CN2018300000000,20,183,Smith County,KS,01/01/2015 12:00:00 AM,2088,2007,81,3.9,"Smith County, KS
(39.780244, -98.785769)"
CN1816100000000,18,161,Union County,IN,01/01/2015 12:00:00 AM,3566,3407,159,4.5,"Union County, IN
(40.20212, -84.814328)"
CN2207500000000,22,075,Plaquemines Parish,LA,01/01/2015 12:00:00 AM,10345,9766,579,5.6,"Plaquemines Parish, LA
(30.289295, -91.234556)"
CN2901100000000,29,011,Barton County,MO,01/01/2015 12:00:00 AM,5362,5072,290,5.4,"Barton County, MO
(39.215157, -92.611928)"
CN2108900000000,21,089,Greenup County,KY,01/01/2015 12:00:00 AM,13535,12495,1040,7.7,"Greenup County, KY
(38.573176, -82.830708)"
CN2907700000000,29,077,Greene County,MO,01/01/2015 12:00:00 AM,150286,144058,6228,4.1,"Greene County, MO
(40.265145, -92.952747)"
CN2904700000000,29,047,Clay County,MO,01/01/2015 12:00:00 AM,133069,127039,6030,4.5,"Clay County, MO
(39.198042, -94.504054)"
CN2005100000000,20,051,Ellis County,KS,01/01/2015 12:00:00 AM,17475,16949,526,3,"Ellis County, KS
(37.791786, -95.150237)"
CN2115700000000,21,157,Marshall County,KY,01/01/2015 12:00:00 AM,14761,13936,825,5.6,"Marshall County, KY
(36.760601, -83.584198)"
CN3110900000000,31,109,Lancaster County,NE,01/01/2015 12:00:00 AM,167615,163133,4482,2.7,"Lancaster County, NE
(40.830272, -96.588093)"
CN2602100000000,26,021,Berrien County,MI,01/01/2015 12:00:00 AM,73367,69564,3803,5.2,"Berrien County, MI
(41.946404, -86.338655)"
CN3000900000000,30,009,Carbon County,MT,01/01/2015 12:00:00 AM,5447,5247,200,3.7,"Carbon County, MT
(46.3806, -112.061096)"
CN2012700000000,20,127,Morris County,KS,01/01/2015 12:00:00 AM,3097,2963,134,4.3,"Morris County, KS
(39.46752, -97.202747)"
CN2911700000000,29,117,Livingston County,MO,01/01/2015 12:00:00 AM,7353,7041,312,4.2,"Livingston County, MO
(38.407799, -93.8106)"
CN2115100000000,21,151,Madison County,KY,01/01/2015 12:00:00 AM,44261,42326,1935,4.4,"Madison County, KY
(37.328179, -87.4988)"
CN3100300000000,31,003,Antelope County,NE,01/01/2015 12:00:00 AM,3598,3504,94,2.6,"Antelope County, NE
(40.321055, -98.901171)"
CN2015700000000,20,157,Republic County,KS,01/01/2015 12:00:00 AM,2583,2512,71,2.7,"Republic County, KS
(39.92414, -97.820638)"
CN2915100000000,29,151,Osage County,MO,01/01/2015 12:00:00 AM,7206,6937,269,3.7,"Osage County, MO
(38.552502, -92.032204)"
CN2604100000000,26,041,Delta County,MI,01/01/2015 12:00:00 AM,17230,16067,1163,6.7,"Delta County, MI
(42.726398, -84.662201)"
CN2200300000000,22,003,Allen Parish,LA,01/01/2015 12:00:00 AM,8842,8226,616,7,"Allen Parish, LA
(30.176399, -91.1231)"
CN2709900000000,27,099,Mower County,MN,01/01/2015 12:00:00 AM,20208,19554,654,3.2,"Mower County, MN
(47.299198, -92.2183)"
CN2110500000000,21,105,Hickman County,KY,01/01/2015 12:00:00 AM,2027,1910,117,5.8,"Hickman County, KY
(36.567637, -89.18661)"
CN2004700000000,20,047,Edwards County,KS,01/01/2015 12:00:00 AM,1744,1691,53,3,"Edwards County, KS
(39.062071, -94.82022)"
CN2008300000000,20,083,Hodgeman County,KS,01/01/2015 12:00:00 AM,1024,992,32,3.1,"Hodgeman County, KS
(38.070534, -97.913101)"
CN2104300000000,21,043,Carter County,KY,01/01/2015 12:00:00 AM,10137,9140,997,9.8,"Carter County, KY
(38.573601, -83.433296)"
CN1916900000000,19,169,Story County,IA,01/01/2015 12:00:00 AM,57503,56040,1463,2.5,"Story County, IA
(42.185863, -93.591059)"
CN2922300000000,29,223,Wayne County,MO,01/01/2015 12:00:00 AM,5755,5418,337,5.9,"Wayne County, MO
(40.0454, -92.903485)"
CN2714300000000,27,143,Sibley County,MN,01/01/2015 12:00:00 AM,8446,8093,353,4.2,"Sibley County, MN
(46.9575, -93.753304)"
CN2103700000000,21,037,Campbell County,KY,01/01/2015 12:00:00 AM,47052,45090,1962,4.2,"Campbell County, KY
(37.347967, -85.348089)"
CN2601500000000,26,015,Barry County,MI,01/01/2015 12:00:00 AM,30208,28919,1289,4.3,"Barry County, MI
(43.407973, -84.474785)"
CN2921300000000,29,213,Taney County,MO,01/01/2015 12:00:00 AM,26335,24216,2119,8,"Taney County, MO
(40.468006, -91.974524)"
CN1900900000000,19,009,Audubon County,IA,01/01/2015 12:00:00 AM,3242,3111,131,4,"Audubon County, IA
(41.71697, -94.93186)"
CN2913100000000,29,131,Miller County,MO,01/01/2015 12:00:00 AM,11727,11024,703,6,"Miller County, MO
(38.898602, -92.123299)"
CN2013500000000,20,135,Ness County,KS,01/01/2015 12:00:00 AM,1533,1482,51,3.3,"Ness County, KS
(38.828235, -94.89922)"
CN2808300000000,28,083,Leflore County,MS,01/01/2015 12:00:00 AM,10540,9408,1132,10.7,"Leflore County, MS
(33.6936, -90.054703)"
CN2815100000000,28,151,Washington County,MS,01/01/2015 12:00:00 AM,18126,16270,1856,10.2,"Washington County, MS
(30.857814, -89.134142)"
CN3108900000000,31,089,Holt County,NE,01/01/2015 12:00:00 AM,5871,5729,142,2.4,"Holt County, NE
(42.335847, -99.15218)"
CN2614900000000,26,149,St. Joseph County,MI,01/01/2015 12:00:00 AM,29035,27730,1305,4.5,"St. Joseph County, MI
(42.110545, -86.479361)"
CN2012500000000,20,125,Montgomery County,KS,01/01/2015 12:00:00 AM,16537,15462,1075,6.5,"Montgomery County, KS
(38.142689, -94.808051)"
CN2916500000000,29,165,Platte County,MO,01/01/2015 12:00:00 AM,55804,53467,2337,4.2,"Platte County, MO
(39.367256, -94.779664)"
CN2500100000000,25,001,Barnstable County,MA,01/01/2015 12:00:00 AM,111147,104296,6851,6.2,"Barnstable County, MA
(41.700001, -70.300003)"
CN2207100000000,22,071,Orleans Parish,LA,01/01/2015 12:00:00 AM,182364,170473,11891,6.5,"Orleans Parish, LA
(29.950621, -90.074948)"
CN3005700000000,30,057,Madison County,MT,01/01/2015 12:00:00 AM,4303,4148,155,3.6,"Madison County, MT
(48.500229, -104.497762)"
CN2609300000000,26,093,Livingston County,MI,01/01/2015 12:00:00 AM,96529,92051,4478,4.6,"Livingston County, MI
(41.9683, -86.543098)"
CN2920900000000,29,209,Stone County,MO,01/01/2015 12:00:00 AM,13455,12396,1059,7.9,"Stone County, MO
(38.367762, -92.216414)"
CN2003500000000,20,035,Cowley County,KS,01/01/2015 12:00:00 AM,16999,16216,783,4.6,"Cowley County, KS
(39.380368, -97.124554)"
CN2203100000000,22,031,De Soto Parish,LA,01/01/2015 12:00:00 AM,11098,10212,886,8,"De Soto Parish, LA
(29.8547, -91.051102)"
CN2702900000000,27,029,Clearwater County,MN,01/01/2015 12:00:00 AM,4595,4175,420,9.1,"Clearwater County, MN
(45.42463, -94.056843)"
CN2907500000000,29,075,Gentry County,MO,01/01/2015 12:00:00 AM,3639,3486,153,4.2,"Gentry County, MO
(40.331803, -94.420486)"
CN2203700000000,22,037,East Feliciana Parish,LA,01/01/2015 12:00:00 AM,8227,7737,490,6,"East Feliciana Parish, LA
(32.165298, -93.431099)"
CN2921900000000,29,219,Warren County,MO,01/01/2015 12:00:00 AM,17458,16625,833,4.8,"Warren County, MO
(38.771088, -93.735354)"
CN1911900000000,19,119,Lyon County,IA,01/01/2015 12:00:00 AM,7067,6923,144,2,"Lyon County, IA
(43.361836, -91.216977)"
CN1914700000000,19,147,Palo Alto County,IA,01/01/2015 12:00:00 AM,4871,4718,153,3.1,"Palo Alto County, IA
(41.577051, -93.023483)"
CN3102300000000,31,023,Butler County,NE,01/01/2015 12:00:00 AM,4742,4608,134,2.8,"Butler County, NE
(41.388335, -97.493233)"
CN3000100000000,30,001,Beaverhead County,MT,01/01/2015 12:00:00 AM,5000,4829,171,3.4,"Beaverhead County, MT
(48.423599, -107.253304)"
CN2812100000000,28,121,Rankin County,MS,01/01/2015 12:00:00 AM,73366,70327,3039,4.1,"Rankin County, MS
(32.2864, -89.906898)"
CN3003500000000,30,035,Glacier County,MT,01/01/2015 12:00:00 AM,5877,5350,527,9,"Glacier County, MT
(48.832802, -112.218102)"
CN2108300000000,21,083,Graves County,KY,01/01/2015 12:00:00 AM,15301,14367,934,6.1,"Graves County, KY
(37.639702, -88.0131)"
CN2603500000000,26,035,Clare County,MI,01/01/2015 12:00:00 AM,11772,10866,906,7.7,"Clare County, MI
(42.121399, -84.345001)"
CN2712900000000,27,129,Renville County,MN,01/01/2015 12:00:00 AM,8527,8115,412,4.8,"Renville County, MN
(44.789226, -95.212065)"
CN1909500000000,19,095,Iowa County,IA,01/01/2015 12:00:00 AM,10398,10026,372,3.6,"Iowa County, IA
(41.9286, -93.404999)"
CN2501300000000,25,013,Hampden County,MA,01/01/2015 12:00:00 AM,222295,207681,14614,6.6,"Hampden County, MA
(42.063519, -72.417358)"
CN1908100000000,19,081,Hancock County,IA,01/01/2015 12:00:00 AM,6374,6198,176,2.8,"Hancock County, IA
(41.389987, -95.362413)"
CN2012900000000,20,129,Morton County,KS,01/01/2015 12:00:00 AM,1431,1371,60,4.2,"Morton County, KS
(39.188734, -95.567208)"
CN2616100000000,26,161,Washtenaw County,MI,01/01/2015 12:00:00 AM,188370,181408,6962,3.7,"Washtenaw County, MI
(41.770302, -84.097801)"
CN2607900000000,26,079,Kalkaska County,MI,01/01/2015 12:00:00 AM,7621,7039,582,7.6,"Kalkaska County, MI
(44.733364, -85.172346)"
CN2703500000000,27,035,Crow Wing County,MN,01/01/2015 12:00:00 AM,31262,29640,1622,5.2,"Crow Wing County, MN
(44.905399, -93.7453)"
CN3003700000000,30,037,Golden Valley County,MT,01/01/2015 12:00:00 AM,381,365,16,4.2,"Golden Valley County, MT
(45.592139, -111.199662)"
CN2808500000000,28,085,Lincoln County,MS,01/01/2015 12:00:00 AM,14295,13429,866,6.1,"Lincoln County, MS
(32.195599, -89.577202)"
CN2614100000000,26,141,Presque Isle County,MI,01/01/2015 12:00:00 AM,5352,4810,542,10.1,"Presque Isle County, MI
(45.304066, -83.476997)"
CN1916100000000,19,161,Sac County,IA,01/01/2015 12:00:00 AM,5650,5458,192,3.4,"Sac County, IA
(43.075969, -96.175468)"
CN2607300000000,26,073,Isabella County,MI,01/01/2015 12:00:00 AM,35290,33604,1686,4.8,"Isabella County, MI
(45.897499, -86.605598)"
CN2106300000000,21,063,Elliott County,KY,01/01/2015 12:00:00 AM,2109,1901,208,9.9,"Elliott County, KY
(38.273899, -84.2994)"
CN2708100000000,27,081,Lincoln County,MN,01/01/2015 12:00:00 AM,3366,3247,119,3.5,"Lincoln County, MN
(44.98453, -93.572269)"
CN2801100000000,28,011,Bolivar County,MS,01/01/2015 12:00:00 AM,13452,12399,1053,7.8,"Bolivar County, MS
(33.659698, -91.053101)"
CN2921100000000,29,211,Sullivan County,MO,01/01/2015 12:00:00 AM,2797,2631,166,5.9,"Sullivan County, MO
(38.213599, -91.16411)"
CN2106700000000,21,067,Fayette County,KY,01/01/2015 12:00:00 AM,165570,159176,6394,3.9,"Fayette County, KY
(37.896368, -85.959692)"
CN2122500000000,21,225,Union County,KY,01/01/2015 12:00:00 AM,6156,5744,412,6.7,"Union County, KY
(37.797199, -84.1978)"
CN3001100000000,30,011,Carter County,MT,01/01/2015 12:00:00 AM,688,666,22,3.2,"Carter County, MT
(47.781748, -110.955454)"
CN2109900000000,21,099,Hart County,KY,01/01/2015 12:00:00 AM,7724,7333,391,5.1,"Hart County, KY
(37.762324, -84.843289)"
CN2402700000000,24,027,Howard County,MD,01/01/2015 12:00:00 AM,177075,170314,6761,3.8,"Howard County, MD
(39.361401, -76.7239)"
CN2801300000000,28,013,Calhoun County,MS,01/01/2015 12:00:00 AM,6168,5788,380,6.2,"Calhoun County, MS
(31.644307, -89.556735)"
CN2710100000000,27,101,Murray County,MN,01/01/2015 12:00:00 AM,5024,4800,224,4.5,"Murray County, MN
(47.299198, -92.2183)"
CN2916700000000,29,167,Polk County,MO,01/01/2015 12:00:00 AM,14352,13597,755,5.3,"Polk County, MO
(38.786075, -94.262294)"
CN2300900000000,23,009,Hancock County,ME,01/01/2015 12:00:00 AM,28996,27331,1665,5.7,"Hancock County, ME
(44.529342, -68.255775)"
CN2105700000000,21,057,Cumberland County,KY,01/01/2015 12:00:00 AM,2888,2717,171,5.9,"Cumberland County, KY
(38.222129, -85.616479)"
CN2102100000000,21,021,Boyle County,KY,01/01/2015 12:00:00 AM,11922,11259,663,5.6,"Boyle County, KY
(37.304199, -85.436401)"
CN2206900000000,22,069,Natchitoches Parish,LA,01/01/2015 12:00:00 AM,16006,14741,1265,7.9,"Natchitoches Parish, LA
(31.753482, -93.087377)"
CN2815500000000,28,155,Webster County,MS,01/01/2015 12:00:00 AM,3959,3675,284,7.2,"Webster County, MS
(33.217499, -88.983597)"
CN2603700000000,26,037,Clinton County,MI,01/01/2015 12:00:00 AM,39729,38182,1547,3.9,"Clinton County, MI
(42.556496, -82.907822)"
CN1906300000000,19,063,Emmet County,IA,01/01/2015 12:00:00 AM,5672,5457,215,3.8,"Emmet County, IA
(43.112898, -94.681435)"
CN2210100000000,22,101,St. Mary Parish,LA,01/01/2015 12:00:00 AM,24312,22458,1854,7.6,"St. Mary Parish, LA
(30.123953, -91.829048)"
CN2007500000000,20,075,Hamilton County,KS,01/01/2015 12:00:00 AM,1648,1615,33,2,"Hamilton County, KS
(37.980128, -96.164881)"
CN2612100000000,26,121,Muskegon County,MI,01/01/2015 12:00:00 AM,77265,72790,4475,5.8,"Muskegon County, MI
(43.234221, -86.246388)"
CN3108100000000,31,081,Hamilton County,NE,01/01/2015 12:00:00 AM,4676,4539,137,2.9,"Hamilton County, NE
(40.384976, -101.231899)"
CN2402300000000,24,023,Garrett County,MD,01/01/2015 12:00:00 AM,15669,14680,989,6.3,"Garrett County, MD
(39.350677, -77.680069)"
CN2811100000000,28,111,Perry County,MS,01/01/2015 12:00:00 AM,4335,3992,343,7.9,"Perry County, MS
(32.591702, -88.738297)"
CN2300700000000,23,007,Franklin County,ME,01/01/2015 12:00:00 AM,14555,13879,676,4.6,"Franklin County, ME
(47.280931, -68.380117)"
CN1912700000000,19,127,Marshall County,IA,01/01/2015 12:00:00 AM,19470,18466,1004,5.2,"Marshall County, IA
(42.034679, -92.912686)"
CN2611100000000,26,111,Midland County,MI,01/01/2015 12:00:00 AM,41412,39407,2005,4.8,"Midland County, MI
(43.623616, -84.225536)"
CN2011300000000,20,113,McPherson County,KS,01/01/2015 12:00:00 AM,17136,16621,515,3,"McPherson County, KS
(38.373551, -97.667066)"
CN2918700000000,29,187,St. Francois County,MO,01/01/2015 12:00:00 AM,26579,24967,1612,6.1,"St. Francois County, MO
(38.442793, -92.988766)"
CN3118100000000,31,181,Webster County,NE,01/01/2015 12:00:00 AM,1727,1665,62,3.6,"Webster County, NE
(41.721084, -96.883022)"
CN2121300000000,21,213,Simpson County,KY,01/01/2015 12:00:00 AM,8285,7889,396,4.8,"Simpson County, KY
(38.222394, -85.355279)"
CN2611900000000,26,119,Montmorency County,MI,01/01/2015 12:00:00 AM,3064,2760,304,9.9,"Montmorency County, MI
(44.410837, -85.395633)"
CN3104700000000,31,047,Dawson County,NE,01/01/2015 12:00:00 AM,13073,12653,420,3.2,"Dawson County, NE
(40.826099, -100.9925)"
CN2112100000000,21,121,Knox County,KY,01/01/2015 12:00:00 AM,9717,8923,794,8.2,"Knox County, KY
(38.521099, -83.338097)"
CN2807900000000,28,079,Leake County,MS,01/01/2015 12:00:00 AM,7928,7442,486,6.1,"Leake County, MS
(31.9622, -89.212502)"
CN2203300000000,22,033,East Baton Rouge Parish,LA,01/01/2015 12:00:00 AM,235521,222726,12795,5.4,"East Baton Rouge Parish, LA
(32.165298, -93.431099)"
CN2115500000000,21,155,Marion County,KY,01/01/2015 12:00:00 AM,9159,8713,446,4.9,"Marion County, KY
(37.412498, -85.128601)"
CN2610300000000,26,103,Marquette County,MI,01/01/2015 12:00:00 AM,33364,31374,1990,6,"Marquette County, MI
(46.54391, -87.397554)"
CN2911100000000,29,111,Lewis County,MO,01/01/2015 12:00:00 AM,5246,4989,257,4.9,"Lewis County, MO
(38.913214, -94.374672)"
CN2403500000000,24,035,Queen Anne's County,MD,01/01/2015 12:00:00 AM,26675,25469,1206,4.5,"Queen Anne's County, MD
(38.907892, -76.362455)"
CN1817100000000,18,171,Warren County,IN,01/01/2015 12:00:00 AM,4103,3900,203,4.9,"Warren County, IN
(39.907501, -85.633904)"
CN1906900000000,19,069,Franklin County,IA,01/01/2015 12:00:00 AM,5967,5763,204,3.4,"Franklin County, IA
(43.187972, -91.615289)"
CN3100500000000,31,005,Arthur County,NE,01/01/2015 12:00:00 AM,225,214,11,4.9,"Arthur County, NE
(41.571712, -101.691552)"
CN2914300000000,29,143,New Madrid County,MO,01/01/2015 12:00:00 AM,8636,8101,535,6.2,"New Madrid County, MO
(36.586224, -89.527062)"
CN3003900000000,30,039,Granite County,MT,01/01/2015 12:00:00 AM,1566,1469,97,6.2,"Granite County, MT
(46.203602, -114.1408)"
CN2607100000000,26,071,Iron County,MI,01/01/2015 12:00:00 AM,5204,4839,365,7,"Iron County, MI
(44.140443, -85.91528)"
CN2014100000000,20,141,Osborne County,KS,01/01/2015 12:00:00 AM,2085,2012,73,3.5,"Osborne County, KS
(39.438132, -98.694707)"
CN2600100000000,26,001,Alcona County,MI,01/01/2015 12:00:00 AM,3803,3500,303,8,"Alcona County, MI
(42.530489, -85.850499)"
CN2700100000000,27,001,Aitkin County,MN,01/01/2015 12:00:00 AM,6820,6372,448,6.6,"Aitkin County, MN
(46.533355, -93.711119)"
CN2716700000000,27,167,Wilkin County,MN,01/01/2015 12:00:00 AM,3659,3537,122,3.3,"Wilkin County, MN
(43.958779, -91.681573)"
CN2901700000000,29,017,Bollinger County,MO,01/01/2015 12:00:00 AM,5591,5279,312,5.6,"Bollinger County, MO
(39.342026, -91.195316)"
CN1910500000000,19,105,Jones County,IA,01/01/2015 12:00:00 AM,10798,10339,459,4.3,"Jones County, IA
(41.1217, -93.724701)"
CN1904700000000,19,047,Crawford County,IA,01/01/2015 12:00:00 AM,8762,8389,373,4.3,"Crawford County, IA
(41.213876, -91.538794)"
CN2917900000000,29,179,Reynolds County,MO,01/01/2015 12:00:00 AM,2730,2540,190,7,"Reynolds County, MO
(37.400799, -91.073303)"
CN2805300000000,28,053,Humphreys County,MS,01/01/2015 12:00:00 AM,2479,2166,313,12.6,"Humphreys County, MS
(31.5786, -91.066704)"
CN2912500000000,29,125,Maries County,MO,01/01/2015 12:00:00 AM,3963,3753,210,5.3,"Maries County, MO
(38.305599, -92.355003)"
CN2704500000000,27,045,Fillmore County,MN,01/01/2015 12:00:00 AM,11319,10854,465,4.1,"Fillmore County, MN
(43.750298, -92.267281)"
CN1913100000000,19,131,Mitchell County,IA,01/01/2015 12:00:00 AM,5602,5441,161,2.9,"Mitchell County, IA
(41.66864, -93.358065)"
CN2814500000000,28,145,Union County,MS,01/01/2015 12:00:00 AM,13276,12600,676,5.1,"Union County, MS
(31.6828, -90.787498)"
CN2119300000000,21,193,Perry County,KY,01/01/2015 12:00:00 AM,8957,8161,796,8.9,"Perry County, KY
(38.0481, -83.399399)"
CN2020700000000,20,207,Woodson County,KS,01/01/2015 12:00:00 AM,1607,1526,81,5,"Woodson County, KS
(38.988098, -95.556099)"
CN2811500000000,28,115,Pontotoc County,MS,01/01/2015 12:00:00 AM,13942,13167,775,5.6,"Pontotoc County, MS
(34.249079, -88.999324)"
CN2103500000000,21,035,Calloway County,KY,01/01/2015 12:00:00 AM,18251,17397,854,4.7,"Calloway County, KY
(37.223457, -82.856205)"
CN2123500000000,21,235,Whitley County,KY,01/01/2015 12:00:00 AM,13104,12218,886,6.8,"Whitley County, KY
(36.725759, -84.468002)"
